Class,Alcohol,Flavanoids,Color intensity,OD280/OD315 of diluted wines,Proline
1,14.23,3.06,5.64,3.92,1065
1,13.2,2.76,4.38,3.4,1050
1,13.16,3.24,5.68,3.17,1185
1,14.37,3.49,7.8,3.45,1480
1,13.24,2.69,4.32,2.93,735
1,14.2,3.39,6.75,2.85,1450
1,14.39,2.52,5.25,3.58,1290
1,14.06,2.51,5.05,3.58,1295
1,14.83,2.98,5.2,2.85,1045
1,13.86,3.15,7.22,3.55,1045
1,14.1,3.32,5.75,3.17,1510
1,14.12,2.43,5.0,2.82,1280
1,13.75,2.76,5.6,2.9,1320
1,14.75,3.69,5.4,2.73,1150
1,14.38,3.64,7.5,3.0,1547
1,13.63,2.91,7.3,2.88,1310
1,14.3,3.14,6.2,2.65,1280
1,13.83,3.4,6.6,2.57,1130
1,14.19,3.93,8.7,2.82,1680
1,13.64,3.03,5.1,3.36,845
1,14.06,3.17,5.65,3.71,780
1,12.93,2.41,4.5,3.52,770
1,13.71,2.88,3.8,4.0,1035
1,12.85,2.37,3.93,3.63,1015
1,13.5,2.61,3.52,3.82,845
1,13.05,2.68,3.58,3.2,830
1,13.39,2.94,4.8,3.22,1195
1,13.3,2.19,3.95,2.77,1285
1,13.87,2.97,4.5,3.4,915
1,14.02,2.33,4.7,3.59,1035
1,13.73,3.25,5.7,2.71,1285
1,13.58,3.19,6.9,2.88,1515
1,13.68,2.69,3.84,2.87,990
1,13.76,2.74,5.4,3.0,1235
1,13.51,2.53,4.2,2.87,1095
1,13.48,2.98,5.1,3.47,920
1,13.28,2.68,4.6,2.78,880
1,13.05,2.43,4.25,2.51,1105
1,13.07,2.64,3.7,2.69,1020
1,14.22,3.04,5.1,3.53,760
1,13.56,3.29,6.13,3.38,795
1,13.41,2.68,4.28,3.0,1035
1,13.88,3.56,5.43,3.56,1095
1,13.24,2.63,4.36,3.0,680
1,13.05,3.0,5.04,3.35,885
1,14.21,2.65,5.24,3.33,1080
1,14.38,3.17,4.9,3.44,1065
1,13.9,3.39,6.1,3.33,985
1,14.1,2.92,6.2,2.75,1060
1,13.94,3.54,8.9,3.1,1260
1,13.05,3.27,7.2,2.91,1150
1,13.83,2.99,5.6,3.37,1265
1,13.82,3.74,7.05,3.26,1190
1,13.77,2.79,6.3,2.93,1375
1,13.74,2.9,5.85,3.2,1060
1,13.56,2.78,6.25,3.03,1120
1,14.22,3.0,6.38,3.31,970
1,13.29,3.23,6.0,2.84,1270
1,13.72,3.67,6.8,2.87,1285
2,12.37,0.57,1.95,1.82,520
2,12.33,1.09,3.27,1.67,680
2,12.64,1.41,5.75,1.59,450
2,13.67,1.79,3.8,2.46,630
2,12.37,3.1,4.45,2.87,420
2,12.17,1.75,2.95,2.23,355
2,12.37,2.65,4.6,2.3,678
2,13.11,3.18,5.3,3.18,502
2,12.37,2.0,4.68,3.48,510
2,13.34,1.3,3.17,1.93,750
2,12.21,1.28,2.85,3.07,718
2,12.29,1.02,3.05,1.82,870
2,13.86,2.86,3.38,3.16,410
2,13.49,1.84,3.74,2.78,472
2,12.99,2.89,3.35,3.5,985
2,11.96,2.14,3.21,3.13,886
2,11.66,1.57,3.8,2.14,428
2,13.03,2.03,4.6,2.48,392
2,11.84,1.32,2.65,2.52,500
2,12.33,1.85,3.4,2.31,750
2,12.7,2.55,2.57,3.13,463
2,12.0,2.26,2.5,3.12,278
2,12.72,2.53,3.9,3.14,714
2,12.08,1.58,2.2,2.72,630
2,13.05,1.59,4.8,2.01,515
